rank,id,name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
104,209506286,ˣˣ AMSTER,5.63M,177.19M,43.36M,2.18M,9.50M,3.90M,2.24M
105,209848443,ᴿᵂPalo4keee,5.51M,106.18M,32.65M,5.12M,9.45M,68.58K,1.49M
106,210166542,Abcdefin,5.50M,57.20M,30.92M,4.99M,3.41M,68.35K,672.29K
107,208684612,ᶲJW4101,5.35M,18.81M,27.66M,2.76M,1.44M,78.38K,1.69M
108,207014016,24 X҉ Jhoncewi,5.33M,121.43M,33.45M,5.16M,10.10M,795.41K,1.81M
109,210209380,King Bismarck,5.17M,48.53M,26.32M,4.10M,3.85M,97.42K,763.55K
110,209927994,24 X҉  Visna,5.03M,83.58M,41.28M,6.90M,4.69M,1.21M,1.64M
111,210437015,Almaspavlodar,4.74M,5.47M,25.34M,1.36M,426.95K,54.24K,1.73M
112,210661343,业๛ BREEZEメ,4.57M,124.68M,42.02M,5.48M,9.08M,532.55K,2.73M
113,209007130,ᴿwmeowington,4.15M,42.45M,29.63M,7.42M,3.48M,90.40K,506.10K
114,210103821,24 X҉  dayday,3.78M,51.87M,33.63M,6.55M,4.26M,308.18K,1.42M
115,209756294,ᴰᴷREDER2502,3.48M,26.47M,27.75M,4.78M,2.31M,35.10K,842.36K
116,210373350,ero3,3.46M,22.19M,29.98M,5.89M,1.27M,251.17K,965.92K
117,212491924,RedbudSupaFarm,3.34M,7.62M,31.54M,6.49M,582.20K,61.58K,826.33K
118,209853474,kurinin23,3.14M,18.61M,25.00M,961.63K,1.12M,1.75K,2.55M
119,209862206,ᴿᵂMCDragoon,3.00M,69.90M,34.38M,7.94M,6.30M,278.60K,513.25K
120,209944070,24X҉  PaTRoN46,2.98M,122.31M,35.03M,2.44M,9.33M,929.59K,4.81M
121,210564758,lord ismail,2.97M,25.37M,30.26M,5.45M,2.02M,173.14K,1.52M
122,210151511,Snoww40,2.79M,36.37M,39.47M,5.18M,1.95M,827.11K,572.97K
123,209756441,ᴰᴷllama2502,2.61M,28.40M,27.01M,4.97M,1.83M,109.89K,619.83K
