Metric,Value
TOTAL PLAYERS,289
DKP < 1M,210

Rank,Governor ID,Name,End Power,End Troop Power,T4N,T4 Kills,T5 Kills,Deads,KP,DKP,Active
110,192034057,24 X҉ No Mercy,14.42M,1.25M,312.46K,4.87K,1.21K,6.34K,72.79K,105.88K,False
111,208580783,24X҉Сиэль,28.61M,2.43M,607.17K,2.25K,4.40K,0,110.50K,77.24K,False
112,207069617,OdinRagnarok,23.88M,1.68M,419.77K,5.10K,3.20K,0,114.92K,73.45K,False
113,212491924,RedbudSupaFarm,31.28M,6.23M,1.56M,12.34K,0,0,123.37K,61.69K,False
114,211311750,Tопoль,26.71M,3.06M,766.19K,9.86K,0,0,98.64K,49.32K,False
115,210373344,MrGazzz,26.02M,3.04M,759.20K,0,3.02K,0,60.44K,45.33K,False
116,207279889,24 X҉ DUMBLDOR,43.58M,2.09M,521.67K,4.96K,0,0,49.61K,24.80K,False
117,207037071,ᴳᵛChocolate,28.40M,68.00K,17.00K,1.53K,0,0,15.32K,7.66K,False
118,207957194,BankKingdom24,24.02M,4.02M,1.01M,1.52K,0,0,15.22K,7.61K,False
119,210479418,Sulaymãn,15.11M,0,0,184,155,0,4.94K,3.25K,False
120,209806538,ANNY20,21.30M,0,0,321,0,0,3.21K,1.60K,False
121,208211218,ᴿᵂ Rooster,21.61M,88.25K,22.06K,238,0,0,2.38K,1.19K,False
122,207181368,24 X҉    Xuka,22.41M,5.47M,1.37M,90,0,0,900,450,False
123,209875567,ᴬᵈDMAч1т,56.78M,10.43M,2.61M,0,0,0,0,0,False
124,209880966,24 X Blaze,51.87M,8.73M,2.18M,0,0,0,0,0,False
125,209294221,24X҉AlphaWolf,49.75M,2.47M,617.61K,0,0,0,0,0,False
126,209502334,24 X҉WilliamQ8,45.57M,6.27M,1.57M,0,0,0,0,0,False
127,207093369,24 X҉ FangYuan,43.60M,8.48M,2.12M,0,0,0,0,0,False
128,209506286,ˣˣ AMSTER,43.36M,2.18M,546.03K,0,0,0,0,0,False
129,210661343,业๛ BREEZEメ,42.02M,5.48M,1.37M,0,0,0,0,0,False
130,209927994,24 X҉  Visna,41.28M,6.90M,1.72M,0,0,0,0,0,False
