Rank,Governor ID,Name,Power,DKP,Total Deads,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills
32,210240632,Admin メ PakPauz,41588344.0,35830715.0,283723.0,49280498.0,38380.0,6608.0,649.0,1579709.0,1672996.0
33,207338987,ACE๛MGT,54424747.0,35444465.0,103713.0,54297671.0,132055.0,0.0,0.0,2518444.0,1454341.0
34,209094372,ATHEMヽMENGHITAM,52274642.0,35255145.0,173836.0,53885994.0,121428.0,3567.0,1.0,2749657.0,1317900.0
35,210459955,YSG ヽMENGHITAM,64805762.0,33657570.0,65729.0,49012326.0,0.0,58282.0,29923.0,1432709.0,1722449.0
36,207922682,JudasヽMENGHITAM,60854528.0,32737110.0,319847.0,44930559.0,428.0,24.0,1734.0,1661591.0,1415379.0
37,208485139,BAKWANヽHITAM,59693927.0,32314275.0,212410.0,43744110.0,1632.0,172.0,835.0,1045960.0,1664025.0
38,208990882,BaBơヽMENGHITAM,55624643.0,31760695.0,112566.0,46480123.0,47016.0,0.0,0.0,1687202.0,1479935.0
39,206747561,sad97ヽMENGHITAM,52766557.0,30285345.0,141068.0,43735032.0,31011.0,1336.0,1537.0,1566137.0,1402932.0
40,208178178,GZoroヽMENGHITAM,54406781.0,27030800.0,264942.0,37968438.0,640.0,229.0,603.0,1637080.0,1079732.0
41,209926456,Emiliヽ3925,67306417.0,26905280.0,229742.0,41155590.0,109117.0,50169.0,150792.0,2285934.0,878546.0
42,208700942,MyAヽMENGHITAM,54976082.0,26811750.0,435312.0,34151772.0,16899.0,1176.0,0.0,1260360.0,1077122.0
43,203920523,MichmanHITAM,35493187.0,26585290.0,683384.0,30554550.0,0.0,0.0,0.0,1265785.0,894835.0
44,207577999,BơGiヽMENGHITAM,41805779.0,26414295.0,98000.0,41619393.0,218566.0,89813.0,137836.0,2079695.0,1002388.0
45,209911702,BoAヽMENGHITAM,43180485.0,25869980.0,364173.0,34127997.0,11985.0,0.0,2540.0,1343332.0,1034106.0
46,207580508,PhVyヽMENGHITAM,45148201.0,25829830.0,76164.0,43426519.0,206509.0,22192.0,96371.0,2859329.0,718103.0
47,210605396,RokokヽMENGHITAM,41406147.0,25808640.0,170197.0,36774819.0,77344.0,0.0,0.0,1385137.0,1145399.0
48,210039680,PrgasヽMENGHITAM,47699886.0,25685865.0,211327.0,34179893.0,113.0,103.0,96.0,824746.0,1296591.0
49,209912625,㋡M㋡ヽMENGHITAM,41746072.0,25251995.0,296568.0,34295459.0,19857.0,96.0,9.0,1372852.0,1028137.0
50,208236090,JNヽMENGHITAM,38051250.0,25187050.0,133843.0,34563789.0,18409.0,1309.0,820.0,826815.0,1314303.0
51,205800418,シ  MOCCI,53727446.0,24959705.0,22672.0,35558520.0,1009.0,100439.0,0.0,714038.0,1410853.0
52,203663783,StewヽMENGHITAM,50676614.0,24924050.0,631999.0,26501460.0,0.0,0.0,0.0,508814.0,1070666.0
53,208918376,MajedヽMENGHITAM,36597641.0,24217600.0,19544.0,43118510.0,715229.0,31144.0,15509.0,3246478.0,519318.0
54,210191227,TobezヽMENGHITAM,42871603.0,24123595.0,53849.0,43377838.0,1435101.0,59776.0,43004.0,3405733.0,437096.0
55,207101874,GURUヽMENGHITAM,55945558.0,23964155.0,110322.0,33212903.0,25.0,0.0,927.0,818383.0,1251268.0
56,203828210,JitemヽMENGHITAM,56510510.0,23784725.0,224874.0,31884015.0,55.0,328.0,172.0,950404.0,1118931.0
57,207378983,CAVAヽMENGHITAM,36548085.0,23465320.0,607224.0,33786792.0,507227.0,334252.0,393598.0,2475503.0,334371.0
58,207528802,MUSANGヽHITAM,47359821.0,23305860.0,7879.0,34087286.0,2933.0,0.0,0.0,935182.0,1236744.0
59,210239732,YepssヽMENGHITAM,37633905.0,23272940.0,1381367.0,14470241.0,4585.0,1840.0,461.0,555432.0,445474.0
60,203095777,BlackヽPitbull,53213744.0,22115600.0,211485.0,28959530.0,1.0,0.0,0.0,687559.0,1104197.0
61,209925761,BADRYMenghitam,33088816.0,20568185.0,160122.0,27734163.0,844.0,1545.0,1.0,732484.0,1020303.0
62,204279729,NimacoヽHITAM,37003705.0,20509435.0,13562.0,30206199.0,297.0,0.0,0.0,912316.0,1054149.0
63,209150602,ChenYヽMENGHITAM,40094405.0,20150695.0,217142.0,27145908.0,3.0,269.0,0.0,951901.0,881318.0
64,208865569,ASURIヽMENGHITAM,54905970.0,20062130.0,94098.0,27653090.0,0.0,0.0,0.0,647467.0,1058921.0
65,209447420,WanYiヽMENGHITAM,42278203.0,19896630.0,67766.0,36991483.0,168684.0,21636.0,2106.0,3384227.0,153189.0
66,207347292,UpヽMENGHITAM,61633062.0,19363585.0,17572.0,27602802.0,262.0,0.0,0.0,605679.0,1077298.0
67,209523410,AnnnヽMENGHITAM,35395181.0,18970025.0,194916.0,25433152.0,20352.0,3.0,169.0,820174.0,861333.0
68,207655488,BéhiヽMENGHITAM,40409581.0,18958470.0,73967.0,27192053.0,285.0,5795.0,314.0,866225.0,925845.0
69,210488668,ReyヽMENGHITAM,53077318.0,18933150.0,184213.0,28799599.0,71783.0,55.0,75548.0,1708474.0,569910.0
70,207338822,Rob ヽMENGHITAM,54687449.0,18581575.0,28695.0,27944058.0,700.0,334.0,0.0,1065125.0,864600.0
71,209981163,PaceヽMENGHITAM,33958752.0,18282050.0,1584347.0,3297209.0,1346.0,14.0,28.0,13608.0,158036.0
72,207629466,MDヽMENGHITAM,45395277.0,18281265.0,148575.0,25682855.0,14366.0,3711.0,175.0,983352.0,791917.0
73,207665952,NoNameヽMNGHITAM,40263031.0,18177995.0,238735.0,23475506.0,43366.0,9468.0,1489.0,716324.0,813935.0
74,207340840,ĐAOヽMENGHITAM,50224864.0,17932475.0,71932.0,26158895.0,11226.0,2828.0,1026.0,958805.0,827942.0
75,210128918,SRi Menghitam,33512737.0,17912080.0,653949.0,18927753.0,189134.0,331.0,2266.0,1115024.0,386498.0
76,205026073,TARJOヽMENGHITAM,52898024.0,17410375.0,28400.0,24661194.0,12644.0,0.0,1864.0,544813.0,960154.0
77,207102881,EmbgヽMENGHITAM,48584973.0,17096220.0,281785.0,21251624.0,5946.0,27.0,0.0,663766.0,730636.0
78,209930913,Niloc Menghitam,34229234.0,16382660.0,829691.0,11313802.0,0.0,691.0,0.0,159426.0,485908.0
79,210194054,OBRヽMENGHITAM,46418867.0,16291765.0,134755.0,22900168.0,1700.0,884.0,0.0,891732.0,699037.0
80,203885264,CantikzヽHITAM,69767642.0,15928305.0,159850.0,21737495.0,22805.0,19856.0,8788.0,765499.0,700154.0
81,209905898,ᴴHellboyHitam,50645114.0,15632215.0,186329.0,23409660.0,0.0,54.0,1668.0,1513294.0,413497.0
82,208303277,kiska MENGHITAM,38294615.0,15379725.0,977878.0,9799084.0,195738.0,47694.0,15177.0,640774.0,159805.0
83,209553567,CanyonヽMENHITAM,38622834.0,15342425.0,207854.0,20279237.0,849.0,0.0,312.0,777792.0,624995.0
84,210080029,OshiヽMENGHITAM,31497496.0,15279035.0,1032932.0,8216684.0,29900.0,5487.0,1315.0,478455.0,170496.0
85,210296671,AlipヽMENGHITAM,39351667.0,15248170.0,218719.0,22065887.0,75033.0,71688.0,9531.0,1336422.0,425258.0
86,210139127,PDuke MENGHITAM,57916200.0,15122555.0,337925.0,18444205.0,45937.0,46258.0,8393.0,795357.0,517768.0
87,210736383,Pandoras Box,27096824.0,14983195.0,1351819.0,2069750.0,0.0,0.0,0.0,34923.0,86026.0
88,209143217,RoseヽMENGHITAM,43507546.0,14807310.0,9358.0,23518428.0,5988.0,65.0,0.0,1169638.0,591036.0
89,210489509,ibra Fillerr,35411628.0,14594730.0,670601.0,11963180.0,29.0,1448.0,1227.0,431123.0,382207.0
90,210724332,BWGヽMENGHITAM,31098282.0,14591935.0,1086182.0,5939736.0,1082.0,16.0,7.0,289792.0,152077.0
91,210677899,EciaヽMENGHITAM,42905552.0,14317530.0,130734.0,19026164.0,0.0,0.0,996.0,502578.0,699820.0
92,210458366,ShizuヽMENGHITAM,38268291.0,14306095.0,370057.0,15924642.0,2198.0,622.0,567.0,533997.0,529036.0
93,207660420,KaityヽMENGHITAM,62136950.0,14059370.0,5879.0,21819595.0,45.0,13.0,0.0,945636.0,618160.0
94,210503870,Snipe MENGHITAM,45990160.0,14026945.0,108111.0,19634711.0,119633.0,18683.0,43757.0,641183.0,649328.0
95,209905402,BROMENGHITAM,44302015.0,13641110.0,240293.0,17225765.0,10612.0,2016.0,1370.0,668967.0,526223.0
96,209929368,Zamri MENGHITAM,34844074.0,13576730.0,679924.0,11490688.0,254520.0,16215.0,21451.0,685469.0,223343.0
97,170369829,龙ヽMENGHITAM,34771295.0,13282535.0,166773.0,19364540.0,235866.0,32715.0,1534.0,1127818.0,398381.0
98,207117573,Elodi MENGHITAM,48615074.0,13156265.0,758714.0,9491703.0,118984.0,139107.0,149938.0,349332.0,254831.0
99,208582043,King MENGHITAM,40905549.0,13047220.0,128897.0,17251614.0,222.0,275.0,0.0,472006.0,626548.0
100,210702136,LK ヽMENGHITAM,42787138.0,12472735.0,282906.0,13908762.0,1509.0,0.0,0.0,315068.0,537889.0
101,209368646,13メ MENGHITAM,46168818.0,12444695.0,136490.0,16262210.0,17259.0,3634.0,0.0,443529.0,590810.0
102,210447128,影ヽMENGHITAM,47862351.0,12229155.0,25997.0,19117090.0,13.0,4.0,0.0,947450.0,482129.0
103,209672855,기사왕아서,47900009.0,12161605.0,57607.0,16457710.0,0.0,0.0,0.0,303099.0,671336.0
104,208411743,BeeヽMENGHITAM,38708795.0,12120700.0,135604.0,15536240.0,1.0,0.0,0.0,355008.0,599308.0
105,210206209,KerosiNヽHITAM,26572261.0,11761785.0,187386.0,15173224.0,6000.0,10942.0,25.0,589842.0,462581.0
106,210677010,WrongHero,27966767.0,11494830.0,1007527.0,2221582.0,161.0,0.0,0.0,98641.0,61757.0
107,210136268,DavidヽMENGHITAM,36310240.0,11401885.0,107642.0,17516684.0,1758.0,1.0,0.0,1124713.0,313460.0
108,207944938,RyouヽMENGHITAM,38230189.0,11238480.0,315464.0,12098349.0,14208.0,1062.0,1216.0,393020.0,407916.0
109,209123524,Rus MENGHITAM,46514951.0,10866440.0,97929.0,14970871.0,2503.0,0.0,0.0,536251.0,480393.0
