#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,DKP,Trades,Credit Score,Kill Points,Death Points,Heal Points,Feeding Rate
1793,208179191,ᴿw dumbywumby,Fire,3924,33301394,0,0,0,0,0,0,0,0,,100,3738878,140785,1386686,
1799,210330736,Charli300,Fire,3924,22586929,0,0,0,0,0,0,0,0,,100,0,0,0,
1815,208585387,Топoль,Fire,3924,41677679,0,0,0,0,0,0,0,0,,100,352415,59460,386547,
1830,209294221,24X҉AlphaWolf,Fire,3924,49672490,0,0,0,0,0,0,0,0,,100,0,0,0,
1834,210086913,はるのもぐら,Fire,3924,18543496,0,0,0,0,0,0,0,0,,100,0,0,0,
1838,210301764,TVRI mongos,Fire,3924,19927501,0,0,0,0,0,0,0,0,,100,117984,35136,300651,
1848,207434370,ᴾᴵTorenzik,Fire,3924,32443433,0,0,0,0,0,0,0,0,,100,0,0,0,
1861,209449139,ᶜᵍDextrixs,Fire,3924,18682796,0,0,0,0,0,0,0,0,,100,0,0,0,
1862,208762017,SP N,Fire,3924,26229715,0,0,0,0,0,0,0,0,,100,72558,0,620616,
1870,209321704,HOTBEAST,Fire,3924,32991651,0,0,0,0,0,0,0,0,,100,0,0,0,
1871,210166542,Abcdefin,Fire,3924,29468860,0,0,0,0,0,0,0,0,,100,1805,0,31365,
1877,207682276,清君側,Fire,3924,65540914,0,0,0,0,0,0,0,0,,100,1223660,0,734235,
1883,207562640,ᴿᵂEazyBuu,Fire,3924,23368845,0,0,0,0,0,0,0,0,,100,0,0,0,
1897,210661343,业๛ BREEZEメ,Fire,3924,36168409,0,0,0,0,0,0,0,0,,100,80709,51095,28549,
1899,207861650,ˣˣOldboy,Fire,3924,59801666,0,0,0,0,0,0,0,0,,100,3399266,0,5951415,
1901,206156810,Nightfallll,Fire,3924,17666418,0,0,0,0,0,0,0,0,,100,0,0,0,
1919,208183840,Third Option,Fire,3924,22277001,0,0,0,0,0,0,0,0,,100,0,0,0,
1920,207279889,24 X҉ DUMBLDOR,Fire,3924,42701084,0,0,0,0,0,0,0,0,,100,423270,0,831656,
1966,209853903,24 X҉ SenSey,Fire,3924,23281179,0,0,0,0,0,0,0,0,,100,0,0,0,
1968,207320759,LAPU  LAPU,Fire,3924,28721592,0,0,0,0,0,0,0,0,,100,0,0,0,
1974,209779749,ᴰᴷMajima,Fire,3924,26658665,0,0,0,0,0,0,0,0,,100,3258928,327994,3174105,
1985,210002656,Oswaldini,Fire,3924,17888451,0,0,0,0,0,0,0,0,,100,0,0,0,
1993,209016436,メB L E S S,Fire,3924,33343623,0,0,0,0,0,0,0,0,,100,0,0,0,
1999,210374164,HighLord Grimm,Fire,3924,20586287,0,0,0,0,0,0,0,0,,100,0,0,0,
2007,210377379,ArxitetIII,Fire,3924,17755751,0,0,0,0,0,0,0,0,,100,1527,0,177403,
2022,210744133,Dirtyguido,Fire,3924,29092308,0,0,0,0,0,0,0,0,,100,0,0,0,
2042,209756441,ᴰᴷllama2502,Fire,3924,25484230,0,0,0,0,0,0,0,0,,100,0,0,0,
2043,209333993,jaims cat,Fire,3924,37781049,0,0,0,0,0,0,0,0,,100,132686,25168,80854,
2080,212579837,Linh huu,Fire,3924,25742479,0,0,0,0,0,0,0,0,,100,0,0,0,
2118,210084771,Bshusttt,Fire,3924,23506092,0,0,0,0,0,0,0,0,,100,306524,475862,1038143,
2140,209324904,TaonguoiVietNam,Fire,3924,45122473,0,0,0,0,0,0,0,0,,100,2020616,114998,1201026,
2164,210133354,24 X҉  Zenith,Fire,3924,45879417,0,0,0,0,0,0,0,0,,100,17304619,77166,3999151,
2176,210399713,Izzy the Great,Fire,3924,33575831,0,0,0,0,0,0,0,0,,100,1187080,31326,1401265,
2192,207093369,24 X҉ FangYuan,Fire,3924,43420641,0,0,0,0,0,0,0,0,,100,0,0,0,
2193,208973298,24 X҉ AndiUmar,Fire,3924,30328190,0,0,0,0,0,0,0,0,,100,802568,61180,456193,
2215,212491924,RedbudSupaFarm,Fire,3924,30328591,0,0,0,0,0,0,0,0,,100,0,0,0,
2227,210262314,ᴮᴺGLE400,Fire,3924,55296240,0,0,0,0,0,0,0,0,,100,2382265,62163,5472928,
2235,209509609,Ryyysiek,Fire,3924,28869986,0,0,0,0,0,0,0,0,,100,0,0,0,
2258,208211218,ᴿᵂ Rooster,Fire,3924,20742667,0,0,0,0,0,0,0,0,,100,0,0,0,
2267,208622212,Ulvsbane,Fire,3924,34795718,0,0,0,0,0,0,0,0,,100,0,0,1654,
2295,209927994,24 X҉  Visna,Fire,3924,39577421,0,0,0,0,0,0,0,0,,100,524823,0,724983,
2300,210922098,Zodiac Army,Fire,3924,22468727,0,0,0,0,0,0,0,0,,100,0,0,0,
2324,209837031,24 X҉  ЫЫЫ,Fire,3924,27967986,0,0,0,0,0,0,0,0,,100,0,0,0,
2353,207037071,ᴳᵛChocolate,Fire,3924,31930705,0,0,0,0,0,0,0,0,,100,0,0,0,
2375,209944070,24X҉  PaTRoN46,Fire,3924,32880873,0,0,0,0,0,0,0,0,,100,256107,0,435382,
2381,210406925,kishmish1,Fire,3924,17620555,0,0,0,0,0,0,0,0,,100,0,0,0,
2387,206917763,solano,Fire,3924,25707912,0,0,0,0,0,0,0,0,,100,0,0,0,
2417,208145473,Vicentuss,Fire,3924,31122540,0,0,0,0,0,0,0,0,,100,301945,159198,403945,
2418,211329312,石木,Fire,3924,29319115,0,0,0,0,0,0,0,0,,100,1828170,414229,1681858,
2457,210422456,Mảngo,Fire,3924,23897775,0,0,0,0,0,0,0,0,,100,338682,402944,779541,
2463,210403265,SlowZ06guy,Fire,3924,22769003,0,0,0,0,0,0,0,0,,100,0,0,0,
2476,209532060,ᴿᵂSigma,Fire,3924,23644654,0,0,0,0,0,0,0,0,,100,0,0,0,
2478,209906026,24 X҉   Tuấn,Fire,3924,24393432,0,0,0,0,0,0,0,0,,100,0,0,0,
2517,210381690,24 X҉  CITOYEN,Fire,3924,30875475,0,0,0,0,0,0,0,0,,100,0,0,0,
2538,209686553,ATN0Ghost,Fire,3924,24342367,0,0,0,0,0,0,0,0,,100,71276,0,139340,
2541,206992661,GunnaGhøst,Fire,3924,21150726,0,0,0,0,0,0,0,0,,100,0,0,0,
2557,210387001,Cá161691,Fire,3924,23170379,0,0,0,0,0,0,0,0,,100,0,0,0,
2565,211856683,HOTBEAST FARM,Fire,3924,19427576,0,0,0,0,0,0,0,0,,100,0,0,0,
2573,208208571,ᴿᵂ Fredi888,Fire,3924,24591929,0,0,0,0,0,0,0,0,,100,0,0,0,
2589,207014016,24 X҉ Jhoncewi,Fire,3924,35616607,0,0,0,0,0,0,0,0,,100,0,0,0,
2653,209862206,ᴿᵂMCDragoon,Fire,3924,34034635,0,0,0,0,0,0,0,0,,100,185330,0,331061,
2660,210210393,Zhâk,Fire,3924,28806329,0,0,0,0,0,0,0,0,,100,0,0,0,
2668,209875567,ᴬᵈDMAч1т,Fire,3924,54096820,0,0,0,0,0,0,0,0,,100,0,0,0,
2676,207786640,AMADIOHA,Fire,3924,26467631,0,0,0,0,0,0,0,0,,100,379470,24602,1499734,
2677,210431963,24 X҉ vSharks,Fire,3924,41052487,0,0,0,0,0,0,0,0,,100,933751,199415,804277,
2681,209899711,Ninnitt,Fire,3924,21180258,0,0,0,0,0,0,0,0,,100,0,0,0,
2692,210445136,Xàmlông,Fire,3924,36520072,0,0,0,0,0,0,0,0,,100,658596,0,738112,
2695,209750782,JoeLaTabaz,Fire,3924,40386279,0,0,0,0,0,0,0,0,,100,1979015,31448,896958,
2696,209743364,Secteryum,Fire,3924,28910657,0,0,0,0,0,0,0,0,,100,65897,57956,744304,
2712,210313435,Aldo247,Fire,3924,20672583,0,0,0,0,0,0,0,0,,100,0,0,0,
2724,208198410,ᴿᵂintruglio,Fire,3924,29293844,0,0,0,0,0,0,0,0,,100,0,0,0,
2728,207118372,DHieu,Fire,3924,33334662,0,0,0,0,0,0,0,0,,100,1848818,63229,922408,
2731,209873558,ᴬᴸRomen228,Fire,3924,18094593,0,0,0,0,0,0,0,0,,100,0,0,0,
2739,209905253,OsmanGazi001,Fire,3924,17849984,0,0,0,0,0,0,0,0,,100,0,0,0,
2792,209527597,24 X҉ Klee,Fire,3924,32121195,0,0,0,0,0,0,0,0,,100,1225211,0,934373,
2796,209112837,ᶲAKa Rùa,Fire,3924,22249675,0,0,0,0,0,0,0,0,,100,0,0,0,
2813,209762988,ᴰᵀŞahmar,Fire,3924,18198514,0,0,0,0,0,0,0,0,,100,0,0,0,
2815,207181368,24 X҉    Xuka,Fire,3924,19829157,0,0,0,0,0,0,0,0,,100,0,0,0,
2820,209506286,ˣˣ AMSTER,Fire,3924,46047425,0,0,0,0,0,0,0,0,,100,0,0,0,
2844,209819561,MEDS21,Fire,3924,30014572,0,0,0,0,0,0,0,0,,100,556302,82995,1819735,
2878,210482880,24 X҉  Slayer,Fire,3924,35095792,0,0,0,0,0,0,0,0,,100,2908652,38358,3552867,
2887,209171610,ᵍˢ BÙM,Fire,3924,27017603,0,0,0,0,0,0,0,0,,100,0,0,0,
2891,210900267,LORD ZEE 1,Fire,3924,23706272,0,0,0,0,0,0,0,0,,100,0,0,0,
2910,204112961,ACôngNhânQN76,Fire,3924,61327998,0,0,0,0,0,0,0,0,,100,17433412,17521,15982292,
2917,210373344,Oulboy,Fire,3924,24603403,0,0,0,0,0,0,0,0,,100,0,0,21131,
2928,210225102,humilde manco,Fire,3924,23183109,0,0,0,0,0,0,0,0,,100,0,0,11716,
2936,208560935,Milk 1,Fire,3924,27326890,0,0,0,0,0,0,0,0,,100,0,0,9677,
2945,210293112,24 X҉ Prince,Fire,3924,42606251,0,0,0,0,0,0,0,0,,100,417196,28889,273852,
2951,210564758,lord ismail,Fire,3924,26968207,0,0,0,0,0,0,0,0,,100,275898,9995,729871,
3001,209756294,ᴰᴷREDER2502,Fire,3924,25659379,0,0,0,0,0,0,0,0,,100,0,0,0,
3036,210377454,EeveePrincess5,Fire,3924,21287199,0,0,0,0,0,0,0,0,,100,0,0,0,
3042,209367234,øPositron,Fire,3924,35147672,0,0,0,0,0,0,0,0,,100,21297,0,114652,
3054,209836261,ᶲ Lady D,Fire,3924,22828664,0,0,0,0,0,0,0,0,,100,0,0,0,
3070,210834666,harryg91,Fire,3924,21879487,0,0,0,0,0,0,0,0,,100,0,0,0,
3073,210622572,Radamanthys,Fire,3924,27494531,0,0,0,0,0,0,0,0,,100,0,0,3532,
3113,203693698,ᴰʷ Vino limo,Fire,3924,57491919,0,0,0,0,0,0,0,0,,100,3589508,305252,2716526,
3162,207122584,HOY PINOY FARM,Fire,3924,24035996,0,0,0,0,0,0,0,0,,100,288681,829628,694530,
3203,210151511,Snoww40,Fire,3924,40358938,0,0,0,0,0,0,0,0,,100,0,0,0,
3209,210252173,Eren kaya 06,Fire,3924,20746327,0,0,0,0,0,0,0,0,,100,0,0,0,
3213,210432676,24 X҉  Qhà,Fire,3924,20409197,0,0,0,0,0,0,0,0,,100,0,0,0,
3226,210740875,ShaKierA,Fire,3924,17443792,0,0,0,0,0,0,0,0,,100,0,0,0,
3227,210101700,Jinozz,Fire,3924,32996915,0,0,0,0,0,0,0,0,,100,0,0,1471,
3229,209817323,ᴰᴷZORO GPS,Fire,3924,33218881,0,0,0,0,0,0,0,0,,100,4637398,216807,9168648,
