Rank,ID,Name,DKP,KP,Power,Troop Power,T4N,T4 Kills,T5 Kills,Deads
61,208684612,ᶲJW4101,1.93M,2.01M,27.56M,2.66M,664.59K,19.37K,90.7K,47.39K
62,208559123,Stflrs Mom,1.75M,958.27K,57.44M,9.19M,,44.63K,25.6K,114.26K
63,207566610,LuffyOldfarm,1.74M,2.48M,31.81M,2.9M,725.59K,48.49K,99.62K,0
64,209345131,ᴰᴷCamaron,1.67M,547.21K,28.31M,2.49M,623.23K,22.97K,15.72K,131.7K
65,209838770,24 X҉  ReDemon,1.67M,1.13M,40.33M,3.06M,766.04K,915,56.11K,82.07K
66,209072763,ᶻᵒDungori,1.49M,1.52M,26.02M,1.95M,487.7K,92.52K,28.77K,59.28K
67,208680184,Kutilkatak,1.46M,1.41M,27.5M,4.11M,1.03M,45.42K,47.84K,51.25K
68,207032911,Nemezis1,1.42M,404.87K,42.35M,4.96M,1.24M,10.65K,14.92K,114.52K
69,207774760,KhôiLangThang,1.26M,1.76M,31.49M,2.03M,507.73K,20.7K,77.42K,0
70,209043926,TOMBOYY,1.26M,1.69M,36.08M,5.55M,1.39M,39.38K,64.64K,8.88K
71,206969476,24 X҉ Xatarê,1.24M,494.28K,36.15M,5.13M,1.28M,15.18K,17.12K,90.57K
72,210373350,ero3,964.72K,1.4M,30.01M,5.88M,1.47M,34.85K,52.7K,0
73,208973298,24 X҉ AndiUmar,927.85K,1.38M,31.36M,4.53M,1.13M,44.25K,47.11K,0
74,210293112,24 X҉ Prince,884.65K,67.86K,42.36M,4.2M,1.05M,0,3.39K,83.38K
75,210399713,Izzy the Great,825.47K,565.98K,38.79M,3.77M,942.33K,30.38K,13.11K,47.69K
76,207428704,ᶫʳБьёрн,772.61K,1.04M,31.69M,3.72M,930.97K,96.47K,3.45K,23.85K
77,210417562,24 X҉   Redbud,708.63K,1.42M,35.44M,6.78M,1.7M,141.73K,0,0
78,209756441,ᴰᴷllama2502,608.93K,714.11K,26.59M,4.55M,1.14M,18.32K,26.52K,11.95K
79,210371729,24 X҉ xANGELx,595.74K,835.61K,27.69M,2.62M,654.65K,12.39K,35.59K,0
80,210431963,24 X҉ vSharks,480.61K,961.22K,45.55M,7.25M,,96.12K,0,0
81,209944070,24X҉  PaTRoN46,476.89K,735.36K,34.47M,1.88M,470.18K,29.85K,21.84K,0
82,209323093,THE END rog,437.99K,579.68K,25M,877.72K,219.43K,56.26K,853,14.39K
83,209302826,1Vorobey1,429.74K,639.08K,41.28M,5.29M,1.32M,19.83K,22.04K,0
84,208585387,Топoль,378.68K,757.36K,45.04M,6.59M,,75.74K,0,0
85,209367234,øPositron,347.6K,454.18K,36.94M,1.49M,371.81K,24.76K,10.33K,6.89K
86,210490061,24 X҉ DuMuc,336.54K,673.07K,29.38M,1.5M,374.59K,67.31K,0,0
87,210834790,Huyメ,321.56K,488.52K,27.08M,4.22M,1.06M,17.93K,15.46K,0
88,213221751,24 X҉ vSharKs,318.98K,637.96K,31.72M,6.36M,1.59M,63.8K,0,0
89,210437015,Almaspavlodar,279.13K,164.18K,26.33M,2.34M,585.5K,4.01K,6.21K,16.6K
90,210376336,24 X҉ Serelis,242.29K,356.11K,26.5M,3.54M,885.25K,9.91K,12.85K,0
91,209322462,ˣPoseidon,215.49K,430.97K,28.14M,3.11M,778.21K,43.1K,0,0
92,208762017,SP N,115.59K,214.97K,28.72M,6.4M,1.6M,18.25K,1.62K,0
93,208580783,24X҉Сиэль,77.24K,110.5K,28.61M,2.43M,607.17K,2.25K,4.4K,0
94,212491924,RedbudSupaFarm,61.69K,123.37K,31.28M,6.23M,1.56M,12.34K,0,0
95,211311750,Tопoль,49.32K,98.64K,26.71M,3.06M,766.19K,9.86K,0,0
96,210373344,MrGazzz,45.33K,60.44K,26.02M,3.04M,759.2K,0,3.02K,0
97,207279889,24 X҉ DUMBLDOR,24.8K,49.61K,43.58M,2.09M,521.67K,4.96K,0,0
98,207037071,ᴳᵛChocolate,7.66K,15.32K,28.4M,68K,17K,1.53K,0,0
99,206917763,solano,0,0,26.14M,1.71M,427.6K,0,0,0
100,206949917,marious1990,0,0,34.62M,1.53M,383.14K,0,0,0
101,206974141,ᴳᴴKaiO,0,0,30.53M,4.66M,1.17M,0,0,0
102,207014016,24 X҉ Jhoncewi,0,0,33.45M,5.16M,1.29M,0,0,0
103,207093369,24 X҉ FangYuan,0,0,43.6M,8.48M,2.12M,0,0,0
104,207108248,HOY PINOY AKOヮ,0,0,25.77M,2.05M,511.72K,0,0,0
105,207118372,Mamaboy123,0,0,34.75M,6.11M,1.53M,0,0,0
106,207320759,LAPU  LAPU,0,0,29.44M,3.02M,753.89K,0,0,0
107,207742044,xxAgresif,0,0,30.81M,4.4M,1.1M,0,0,0
108,207786640,AMADIOHA,0,0,28.22M,2.1M,523.9K,0,0,0
109,208108254,Alex hub,0,0,36.01M,2.13M,531.32K,0,0,0
110,208145473,Vicentuss,0,0,32.51M,4.46M,1.12M,0,0,0
111,208158335,24 X҉ HellSing,0,0,31.04M,2.41M,601.98K,0,0,0
