uid,name,pow,dkp,kvk3 kp,total kp,clan name
209833637,MANCH,28392234,0,0,16710132.0,AL
210166542,Abcdefin,28350351,1008889,314300,15487440.0,LW
207296852,ᶫʳ Dron FPV,28348648,1908913,3497440,,
206974141,ᴳᴴKaiO,28289705,0,0,66154218.0,SL
209757200,Quynhhxxihgaiii,28248827,3600,9000,2130468.0,LW
209987606,24 X҉GiangBlue,28245050,25310,90184,,
208189559,ᴿᵂRenegade,28204921,6283786,13486333,50781229.0,AL
209864074,24 X҉ Erass,28165649,0,0,,
210531865,Cyntra City,28147565,92428,211580,4779261.0,SL
209811971,peter graffi,28129716,28799414,45996956,91903520.0,SL
210412615,methusala,28127190,5763027,6684141,11276482.0,SL
209322462,ˣPoseidon,27987921,4305664,5310556,18296187.0,LW
209089507,24X҉ Olivia,27966921,31606690,49561828,109159506.0,AL
209837031,24 X҉  ЫЫЫ,27842755,0,0,,
208580783,24X҉Сиэль,27784358,28595289,57640322,140056932.0,SL
210532839,Beelphegor,27778254,1547005,2827694,5138216.0,LW
209532060,ᴿᵂSigma,27695450,206334,1226383,,
209819561,MEDS21,27645128,12445773,11471061,53421434.0,SL
210095833,24X҉Naofumi,27618485,0,0,,
209838834,Teung,27557889,14582398,8606776,29449818.0,SL
210066323,cà chua ok,27554739,1402158,7707874,25966499.0,AL
207428704,ᶫʳБьёрн,27543293,15542236,25943983,95370507.0,SL
210393177,tao nè vn,27507126,0,0,7698410.0,LW
210142805,Olly25,27463259,15823870,17678770,25285855.0,LW
208961613,ᴿᵂSabrewolf,27451663,1179476,1012694,3146116.0,AL
209007130,ᴿwmeowington,27444626,3587093,5582606,24564424.0,AL
210082550,xFACAx,27426919,26971931,6044446,28287385.0,SL
209890750,Elephent,27365663,15401085,8053474,37383138.0,LW
210313245,24 X҉ ヅÖrökヅ,27358286,0,0,,
218982356,Lamnesik,27339155,6443828,13433044,19860282.0,SL
209807832,Evertonian,27337075,2969584,3282607,8412648.0,AL
209657050,EevisM,27305295,3986116,3382012,8820111.0,LW
207938366,клевый,27276811,36978,80090,1701565.0,AL
209265582,Lee Lovely F,27265216,0,0,105697052.0,VL
210372799,24 CHEZCKO,27220203,15770697,2589060,13596664.0,LW
211329312,石木,27198151,3867995,7649856,22263435.0,SL
209829717,24 X҉ Ikigai,27177586,0,0,,
210373350,ero3,27163529,3161507,6198282,14968799.0,LW
210539282,Scriptor,27156687,1435545,3335589,4482971.0,LW
210394369,Hắc ma,27046305,25430113,3654697,,
207933613,24 X҉ Sawakita,27017700,5197953,8918481,50744239.0,SL
209171610,ᵍˢ BÙM,27017119,527064,1317904,,
209894459,LeslieChow,26998119,7654656,9392605,18786256.0,AL
208164511,ᴿᵂIndigo,26964563,2202070,3697360,26917156.0,AL
209751429,油条,26895317,226916,567542,,
209310262,GhoOosT,26823421,11793043,3723720,4691930.0,LW
209172696,Lollo filler 1,26810125,15004430,2128850,,
209745701,Oenomaus,26796612,0,1494060,,
209311732,ᴿᵂ RØW,26764396,101944,254860,10674183.0,AL
209345131,ᴰᴷCamaron,26723201,4822778,2702220,28982961.0,AL
210750053,KristianCor,26691880,0,0,15117084.0,ML
209837719,24 X҉   メScarメ,26620542,0,0,,
210394588,24 X҉ Tường,26565107,6990363,11890728,34181000.0,LW
209804157,ᴿᵂELLVIERA,26551194,5926236,6656102,28025391.0,AL
210876904,Slim 15,26505236,7402767,7447629,23832099.0,LW
210234353,AK Optimuss,26487948,2337449,3244742,,
209613410,24 X҉ Smeller,26466314,14021383,1868100,,
210406006,Lw小哲,26457555,0,0,,
208684612,ᶲJW4101,26432334,166237,560524,5992166.0,LD
209837225,iXx,26431484,0,0,,
208821197,ᴰᴾJoe Black,26346096,4509792,518907,23563710.0,LW
207275480,cocojambo,26343083,71332,178330,31183501.0,AL
208210296,ᴿᵂTalha67,26275012,314880,787200,19984564.0,AL
209686553,ATLAS007,26251192,559963,595870,2683133.0,LW
207934863,Hockeye,26228776,0,0,,
210376336,24 X҉ Serelis,26225185,12046437,19639928,55804762.0,LW
207501113,24 X҉  Hyra ツ,26197188,0,0,,
208850800,24 X҉ 도주이득,26177030,0,0,71254908.0,VL
209837521,24 X VADO,26110104,161604,404010,,
210438552,24 X҉ PPPhúc,26030492,19011985,21695146,38599869.0,SL
209323093,THE END rog,26003094,3640560,7529718,30150229.0,SL
209870149,ᴿᵂJOESANJI,26001540,3444299,2419136,12627471.0,AL
208208571,ᴿᵂ Fredi888,26000763,30718,74942,12102864.0,RW
209354961,RW penculik111,25920233,17481043,30075328,73249321.0,SL
207786640,AMADIOHA,25903966,19112790,20813695,88664391.0,SL
210372642,NTThaSN,25880724,4421590,7246728,31690743.0,LW
208649830,ᶲMrFoolsDay,25855788,0,0,3442366.0,ADRL
210152430,Sugeng 1,25841446,76000,472373,3844503.0,ML
209843352,24 X tafger,25833690,0,0,48374182.0,VL
206960318,24 X҉    Ghost,25767257,15728994,6734833,,
208211560,ᴿᵂ Musti,25750571,678797,110150,12486732.0,AL
209245175,Pikachu br,25748530,0,0,,
210900267,LORD ZEE 1,25661965,18365162,2115956,6630200.0,AL
209779749,ᴰᴷMajima,25578109,17441321,30152534,38895172.0,LW
210896556,Hired Killer,25576775,4517316,7377344,12086515.0,ADRL
208206714,ᴿᵂPredator,25565372,3727959,858490,14449800.0,AL
209749867,ᴬᶠBamba,25543300,16361358,6587490,8754267.0,AL
209743364,Secteryum,25528381,1377564,3426110,5078712.0,LW
204517431,ThienDi,25507089,2740353,3491070,61763859.0,LW
210394486,sencerbatur,25506165,189546,472576,4071449.0,LW
210533310,Vates,25401007,1351337,2496239,4667251.0,LW
207069617,Paulo21,25346307,8119994,2805213,5758232.0,LW
210428942,waiting my end,25335943,2182089,3932624,,
209881387,۷ɛƈŋą,25305367,0,0,,
210740345,Basiliscus,25234287,1375191,2575170,3962325.0,LW
209829051,24 X҉ Hexxy,25208050,0,0,49429340.0,SLF
210376950,NightStarr,25092621,2346742,1722735,11834354.0,LW
210564758,lord ismail,25044259,8090570,2661360,20189615.0,LW
209072763,ᶻᵒDungori,25043000,7647319,10224503,53508496.0,SL
210371729,24 X҉ xANGELx,25033124,24048833,45873186,136161860.0,LW
210676287,filler23,25001173,55202323,111453039,162009242.0,ML
210209380,King Bismarck,24947104,10613882,15602590,28511505.0,LW
210685997,ᴶᴰ nurge,24912011,8032355,835660,,
209756294,ᴰᴷREDER2502,24871729,521372,1209330,21253903.0,SL
211250823,ᴬᵈBethoven,24733007,30028,70930,487028.0,LW
209502377,ᵍˢkraM,24638780,0,0,,
207889100,ᴿᵂOne Eye,24626039,0,0,,
209250126,24 X҉   Sharky,24562297,0,0,,
209836261,ᶲ Lady D,24558093,0,0,4016460.0,AL
206992661,GunnaGhøst,24527119,5773541,2807139,30466772.0,AL
208188806,rw kk,24507345,2706743,3343067,15345219.0,AL
208630834,24 X҉  Mommy,24483153,9814211,14417220,72132773.0,AL
209986084,maiconphieu,24466779,142332,347122,1338691.0,AL
209326871,G R E E K,24459853,6175375,11739682,30868486.0,AL
209926937,우라차차,24454505,0,0,1619612.0,SLF
209906026,24 X҉   Tuấn,24454032,0,0,,
209786492,Girl sexyyyy,24429171,11064999,13659705,35265417.0,SL
209267900,karipapkentang,24427152,0,0,,
210266508,MauritiusVictus,24387181,20482126,1250628,2709124.0,ADRL
209862044,BorLanD,24375128,0,0,,
210437015,Almaspavlodar,24345608,7380147,2339660,4082873.0,LW
211065244,Kr0uKe1zR0k,24334394,4845546,1996788,4274156.0,AL
207190528,kz 007 02,24316319,18653265,2164682,,
207108248,HOY PINOY AKOヮ,24313978,29103715,25494346,72140987.0,AL
210622572,Radamanthys,24242402,836076,2090190,4949217.0,LW
210441175,gaberner,24236294,3085217,1755729,6281400.0,LW
210354561,ᴸnichii,24204077,28509116,57333010,85090163.0,LW
206973291,RØgueThrottle,24169197,16203054,2494219,,
209756441,ᴰᴷllama2502,24167578,582362,1322030,22894807.0,SL
209299428,douby 7,24096586,3021548,8807345,13842781.0,ML
209843396,ᶲLe Trong Tan,24027634,0,0,,
210295752,24 X҉Camelotik,23951412,0,0,,
209853474,kurinin23,23939721,9382567,1082817,13656144.0,ML
210313435,Aldo247,23913542,0,0,,
210387001,Cá161691,23869987,2173999,233250,9264448.0,AL
209845456,Kyoto1773,23835884,22992,57480,3671798.0,ML
211209147,24 X҉   AxeTR,23776098,16044327,1371494,4821984.0,VL
210266791,Lee See Chen,23772673,9824418,22076037,,
211892788,ᶲJW4101 Farma,23751141,0,0,1704459.0,LD
210913126,ᴿᵂKingOfWar,23731676,13777376,33960868,56523426.0,AL
208183840,Third Option,23707945,0,0,18406397.0,ADRL
210433741,24 X҉ Palomon,23678544,0,0,,
208174479,RW ALEXANAH,23569402,0,0,,
209982519,Vᴺ Longcon,23498489,15757104,986949,2367802.0,AL
209218288,GoodVin mini,23469845,0,0,,
209989088,24X҉ Alexander,23418684,0,0,,
210422456,Mảngo,23360910,33667839,15567440,17159989.0,SL
209858936,RW Zill,23350507,1403654,639754,6984021.0,SLF
209830443,BellumDux,23346084,0,0,,
209859699,QueenCandy P,23345711,8593687,9062212,29249395.0,SL
210426611,Pé Chanh 2k6,23331275,460218,608780,3118565.0,SL
210401075,VoidAlbion,23328418,173342,1577832,8833111.0,ADRL
207251090,ʷғŴukong,23306607,14996453,1779154,,
209871082,Beb0,23283730,2228497,3749506,7503880.0,ML
212579837,Linh huu,23268600,16085729,1134500,2281353.0,ADRL
209806538,ANNY20,23256874,2915486,1595405,2328674.0,LW
209835098,ᴿᵂ DuongBeo,23218334,198228,500773,3884807.0,AL
210747688,24 X҉ Perigo,23210316,9914895,2524575,,
211856683,HOTBEAST FARM,23160824,1883732,4709805,12512648.0,LW
208762017,SP N,23147124,8076113,11629984,17355373.0,SL
