Rank,Kingdom,Group,KvK,KvK Start,KvK End,Power,Power Capped,KP,Dead,CH25
50,3299,A,C13192 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,16588682274,16588682274,1.83659E+11,2479196522,300
51,1532,A,C13216 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,16583767058,14122855904,1.22728E+11,2097016076,264
52,2243,A,,,,16568302479,16562588060,1.16727E+11,2123166861,300
53,2341,A,,,,16511304626,16511304626,1.60768E+11,2540517470,300
54,1404,A,,,,16507708534,16503662729,1.96774E+11,2512991300,295
55,1939,A,C13216 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,16466287343,12487580736,1.31306E+11,2121637186,278
56,3257,A,C13200 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,16390088793,16309131123,1.19054E+12,5938317944,300
57,2804,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,16266095722,16108314243,8.6649E+11,4073172761,284
58,2062,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,16106780953,14491435154,4.54064E+11,3601859359,297
59,1076,A,,,,16063441768,16059148468,1.49023E+11,2535731568,290
60,3608,A,,,,15960917942,15960917942,1.30448E+11,1786181262,300
61,1105,A,C13184 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,15916498160,15916498160,58566462589,2139748218,300
62,1016,A,,,,15912674245,15887908069,9.08559E+11,5136062796,300
63,1592,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,15894854782,15837205377,1.54433E+12,5737396226,300
64,2199,A,,,,15831042457,15825992866,1.98465E+11,2832031934,289
65,1206,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,15818021550,14489608302,9.61119E+11,4092938758,292
66,1671,A,C13182 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,15765162842,15171372727,4.25278E+11,3818558099,297
67,3418,A,C13183 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,15697806758,15697806758,1.10166E+11,2602321804,300
68,2626,A,C13214 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,15678256247,15678256247,1.60853E+11,2671726770,300
69,2194,A,,,,15466114508,15466114508,6.86224E+11,4170068573,300
70,1209,A,,,,15417963490,15412756759,2.9768E+11,3170674373,281
71,1079,A,C13199 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,15340220799,15327299798,1.27127E+12,5044360056,300
72,3767,A,C13236 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,15277988002,15065556093,1.33092E+11,1338693720,294
73,3319,A,,,,15258824499,15256549187,2.13804E+11,2920993162,300
74,3535,A,,,,15205125310,15192526809,2.76394E+11,2824056051,300
75,1757,A,,,,15192739387,15191702262,92036329125,2244005748,300
76,1816,A,,,,15146299420,15112796551,84930087937,1618746575,300
77,3143,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,15137219434,14959457589,6.85983E+11,3571814486,278
78,2965,A,,,,15115492635,15105396259,1.06723E+12,4282281628,300
79,2070,A,,,,15078519853,15038305914,4.40892E+11,3819921677,300
